,player_id,birthDate,draft_year,name,position,college,salary,season_end,season_start,team,lat,long
0,acyqu01,6-Oct-90,2012.0,Quincy Acy,Power Forward,Baylor University,1709538.0,2018.0,2017.0,Brooklyn Nets,31.5469132,-97.1210998
1,jackspi01,29-Aug-91,2013.0,Pierre Jackson,Point Guard,Baylor University,105498.0,2017.0,2016.0,Dallas Mavericks,31.5469132,-97.1210998
2,jeffeco01,26-Dec-90,2014.0,Cory Jefferson,Power Forward,Baylor University,421449.0,2016.0,2015.0,Phoenix Suns,31.5469132,-97.1210998
3,jonespe01,24-Sep-91,2012.0,Perry Jones,Small Forward,Baylor University,2038206.0,2016.0,2015.0,Boston Celtics,31.5469132,-97.1210998
4,millequ01,18-Nov-92,2012.0,Quincy Miller,Power Forward,Baylor University,50000.0,2016.0,2015.0,Brooklyn Nets,31.5469132,-97.1210998
5,princta02,22-Mar-94,2016.0,Taurean Prince,Small Forward,Baylor University,2422560.0,2018.0,2017.0,Atlanta Hawks,31.5469132,-97.1210998
6,adamsst01,20-Jul-93,2013.0,Steven Adams,Center,University of Pittsburgh,22471910.0,2018.0,2017.0,Oklahoma City Thunder,40.4443533,-79.960835
7,pattela01,12-Aug-91,2014.0,Lamar Patterson,Shooting Guard,University of Pittsburgh,100000.0,2017.0,2016.0,Sacramento Kings,40.4443533,-79.960835
8,adebaba01,18-Jul-97,2017.0,Bam Adebayo,Center,University of Kentucky,2490360.0,2018.0,2017.0,Miami Heat,38.0306511,-84.5039697
9,bledser01,9-Dec-89,2010.0,Eric Bledsoe,Point Guard,University of Kentucky,14500000.0,2018.0,2017.0,Milwaukee Bucks,38.0306511,-84.5039697
10,bookede01,30-Oct-96,2015.0,Devin Booker,Shooting Guard,University of Kentucky,2319360.0,2018.0,2017.0,Phoenix Suns,38.0306511,-84.5039697
11,caulewi01,18-Aug-93,2015.0,Willie Cauley-Stein,Center,University of Kentucky,3704160.0,2018.0,2017.0,Sacramento Kings,38.0306511,-84.5039697
