player_id,birthDate,draft_year,name,position,college,salary,season_end,season_start,team,lat,long
ackeral01,"January 21, 1983",2005.0,Alex Acker,Shooting Guard,Pepperdine University,839209,2007,2006,Detroit Pistons,34.0414045,-118.7095814
acyqu01,"October 6, 1990",2012.0,Quincy Acy,Power Forward,Baylor University,1914544,2017,2016,Brooklyn Nets,31.5469132,-97.1210998
adamsha01,"June 20, 1984",2006.0,Hassan Adams,Shooting Guard,University of Arizona,412718,2007,2006,New Jersey Nets,32.2318851,-110.9501094
adamsjo01,"July 8, 1994",2014.0,Jordan Adams,Shooting Guard,University of California,1465080,2017,2016,Memphis Grizzlies,37.8718992,-122.2585399
adamsst01,"July 20, 1993",2013.0,Steven Adams,Center,University of Pittsburgh,22471910,2018,2017,Oklahoma City Thunder,40.4443533,-79.960835
adebaba01,"July 18, 1997",2017.0,Bam Adebayo,Center,University of Kentucky,2490360,2018,2017,Miami Heat,38.0306511,-84.5039697
afflaar01,"October 15, 1985",2007.0,Arron Afflalo,Shooting Guard,University of California,12500000,2017,2016,Sacramento Kings,37.8718992,-122.2585399
agerma01,"February 9, 1984",2006.0,Maurice Ager,Shooting Guard,Michigan State University,1042440,2009,2008,New Jersey Nets,42.701848,-84.4821719
alabiso01,"March 21, 1988",2010.0,Solomon Alabi,Center,Florida State University,830000,2012,2011,Toronto Raptors,30.4418778,-84.2984889
aldrico01,"October 31, 1988",2010.0,Cole Aldrich,Center,University of Kansas,7643979,2017,2016,Minnesota Timberwolves,38.9543439,-95.2557961
aldrila01,"July 19, 1985",2006.0,LaMarcus Aldridge,Power Forward,University of Texas at Austin,21461010,2018,2017,San Antonio Spurs,30.2849185,-97.7340567
alexaco02,"April 27, 1977",2000.0,Courtney Alexander,Point Guard,California State University,2168193,2004,2003,New Orleans Hornets,34.0667698,-118.1684392
alexajo01,"December 26, 1986",2008.0,Joe Alexander,Small Forward,West Virginia University,2583360,2010,2009,Chicago Bulls,39.6480359,-79.9697147
allenja01,"April 21, 1998",2017.0,Jarrett Allen,Center,University of Texas at Austin,1713720,2018,2017,Brooklyn Nets,30.2849185,-97.7340567
allenla01,"February 4, 1989",2011.0,Lavoy Allen,Power Forward,Temple University,4000000,2017,2016,Indiana Pacers,39.9805942,-75.1557376
allento01,"January 11, 1982",2004.0,Tony Allen,Shooting Guard,Oklahoma State University,5505618,2017,2016,Memphis Grizzlies,36.1270236,-97.07372219999999
almonmo01,"February 2, 1985",2007.0,Morris Almond,Shooting Guard,Rice University,1081440,2009,2008,Utah Jazz,29.7173941,-95.40183119999999
aminual01,"September 21, 1990",2010.0,Al-Farouq Aminu,Power Forward,Wake Forest University,7680965,2017,2016,Portland Trail Blazers,36.1355052,-80.2791958
anderja01,"March 25, 1989",2010.0,James Anderson,Small Forward,Oklahoma State University,1463520,2012,2011,San Antonio Spurs,36.1270236,-97.07372219999999
anderju01,"November 19, 1993",2015.0,Justin Anderson,Small Forward,University of Virginia,1579440,2018,2017,Philadelphia 76ers,38.0335529,-78.5079772
anderky01,"September 20, 1993",2014.0,Kyle Anderson,Small Forward,University of California,2151704,2018,2017,San Antonio Spurs,37.8718992,-122.2585399
anderry01,"May 6, 1988",2008.0,Ryan Anderson,Power Forward,University of California,19578455,2018,2017,Houston Rockets,37.8718992,-122.2585399
anigbik01,"October 17, 1998",2017.0,Ike Anigbogu,Center,University of California,950000,2018,2017,Indiana Pacers,37.8718992,-122.2585399
anthoca01,"May 29, 1984",2003.0,Carmelo Anthony,Small Forward,Syracuse University,26243760,2018,2017,Oklahoma City Thunder,43.0391534,-76.1351158
anunoog01,"July 17, 1997",2017.0,OG Anunoby,Small Forward,Indiana University,1645200,2018,2017,Toronto Raptors,39.1754487,-86.512627
araujra01,"August 12, 1980",2004.0,Rafael Araujo,Center,Brigham Young University,2395200,2007,2006,Utah Jazz,40.2518435,-111.6493156
archiro01,"March 29, 1980",2002.0,Robert Archibald,Center,University of Illinois at Urbana-Champaign,563679,2004,2003,Orlando Magic,40.1019523,-88.2271615
arenagi01,"January 6, 1982",2001.0,Gilbert Arenas,Point Guard,University of Arizona,20807922,2013,2012,Orlando Magic,32.2318851,-110.9501094
arizatr01,"June 30, 1985",2004.0,Trevor Ariza,Small Forward,University of California,8579089,2015,2014,Houston Rockets,37.8718992,-122.2585399
armstbr01,"June 16, 1980",2001.0,Brandon Armstrong,Shooting Guard,Pepperdine University,995650,2004,2003,New Jersey Nets,34.0414045,-118.7095814
armsthi01,"November 11, 1984",2006.0,Hilton Armstrong,Center,University of Connecticut,2801198,2010,2009,Houston Rockets,41.8077414,-72.2539805
arthuda01,"March 25, 1988",2008.0,Darrell Arthur,Small Forward,University of Kansas,8070175,2017,2016,Denver Nuggets,38.9543439,-95.2557961
augusdj01,"November 10, 1987",2008.0,D.J. Augustin,Point Guard,University of Texas at Austin,7250000,2018,2017,Orlando Magic,30.2849185,-97.7340567
augusja01,"February 27, 1984",2006.0,James Augustine,Power Forward,University of Illinois at Urbana-Champaign,687456,2008,2007,Orlando Magic,40.1019523,-88.2271615
pendeje02,"April 29, 1987",2009.0,Jeff Ayres,Center,Arizona State University,1828750,2015,2014,San Antonio Spurs,33.4242399,-111.9280527
babbilu01,"June 20, 1989",2010.0,Luke Babbitt,Small Forward,University of Nevada,1974159,2018,2017,Miami Heat,39.5441917,-119.816397
bacondw01,"August 30, 1995",2017.0,Dwayne Bacon,Shooting Guard,Florida State University,815615,2018,2017,Charlotte Hornets,30.4418778,-84.2984889
bairsca01,"December 7, 1990",2014.0,Cameron Bairstow,Center,University of New Mexico,845059,2016,2015,Chicago Bulls,35.0843187,-106.6197812
balkmre01,"July 14, 1984",2006.0,Renaldo Balkman,Small Forward,University of South Carolina,2112417,2010,2009,Denver Nuggets,33.9937575,-81.0299186
balllo01,"October 27, 1997",2017.0,Lonzo Ball,Point Guard,University of California,6286560,2018,2017,Los Angeles Lakers,37.8718992,-122.2585399
banksma01,"November 19, 1981",2003.0,Marcus Banks,Point Guard,University of Nevada,4847586,2011,2010,New Orleans Hornets,39.5441917,-119.816397
barkler01,"February 21, 1978",2000.0,Erick Barkley,Point Guard,St. John's University,712200,2001,2000,Portland Trail Blazers,40.7220627,-73.79421119999999
barneha02,"May 30, 1992",2012.0,Harrison Barnes,Power Forward,University of North Carolina,23112004,2018,2017,Dallas Mavericks,35.9049122,-79.0469134
barnema02,"March 9, 1980",2002.0,Matt Barnes,Small Forward,University of California,6125000,2017,2016,Sacramento Kings,37.8718992,-122.2585399
bartowi01,"January 6, 1991",2012.0,Will Barton,Shooting Guard,University of Memphis,3533333,2018,2017,Denver Nuggets,35.1187498,-89.9374928
bassbr01,"April 30, 1985",2005.0,Brandon Bass,Power Forward,Louisiana State University,6900000,2015,2014,Boston Celtics,30.4132579,-91.1800023
battish01,"September 9, 1978",2001.0,Shane Battier,Small Forward,Duke University,7354500,2011,2010,Memphis Grizzlies,36.0014258,-78.9382286
baxtelo01,"January 27, 1979",2002.0,Lonny Baxter,Power Forward,University of Maryland,745248,2006,2005,Houston Rockets,38.9869183,-76.9425543
bayleje01,"August 20, 1988",2008.0,Jerryd Bayless,Point Guard,University of Arizona,9424084,2017,2016,Philadelphia 76ers,32.2318851,-110.9501094
bealbr01,"June 28, 1993",2012.0,Bradley Beal,Shooting Guard,University of Florida,23775506,2018,2017,Washington Wizards,29.6436325,-82.3549302
beaslje01,"May 17, 1980",2003.0,Jerome Beasley,Power Forward,University of North Dakota,620046,2005,2004,Miami Heat,47.922891,-97.0768014
beaslma01,"November 26, 1996",2016.0,Malik Beasley,Shooting Guard,Florida State University,1700640,2018,2017,Denver Nuggets,30.4418778,-84.2984889
beaslmi01,"January 9, 1989",2008.0,Michael Beasley,Power Forward,Kansas State University,6262347,2012,2011,Minnesota Timberwolves,39.1974437,-96.5847249
belljo01,"January 7, 1995",2017.0,Jordan Bell,Center,University of Oregon,815615,2018,2017,Golden State Warriors,44.0448302,-123.0726055
belltr01,"November 10, 1980",2003.0,Troy Bell,Point Guard,Boston College,1478280,2006,2005,Memphis Grizzlies,42.3355488,-71.16849450000001
bembrde01,"July 4, 1994",2016.0,DeAndre' Bembry,Shooting Guard,Saint Joseph's University,1567200,2018,2017,Atlanta Hawks,39.9951217,-75.23993279999999
bennean01,"March 14, 1993",2013.0,Anthony Bennett,Power Forward,University of Nevada,5563920,2015,2014,Minnesota Timberwolves,39.5441917,-119.816397
bensoke02,"August 13, 1988",2011.0,Keith Benson,Center,Oakland University,75000,2017,2016,Miami Heat,42.6679486,-83.2081632
bentibe01,"March 29, 1995",2016.0,Ben Bentil,Power Forward,Providence College,250000,2017,2016,Boston Celtics,41.8440925,-71.4381653
beverpa01,"July 12, 1988",2009.0,Patrick Beverley,Point Guard,University of Arkansas,6500000,2016,2015,Houston Rockets,36.0686895,-94.1748471
blairde01,"April 22, 1989",2009.0,DeJuan Blair,Center,University of Pittsburgh,2000000,2016,2015,Phoenix Suns,40.4443533,-79.960835
blakest01,"February 26, 1980",2003.0,Steve Blake,Point Guard,University of Maryland,4930000,2010,2009,Los Angeles Clippers,38.9869183,-76.9425543
blalowi01,"September 8, 1983",2006.0,Will Blalock,Point Guard,Iowa State University,412718,2007,2006,Detroit Pistons,42.0266187,-93.6464654
bledser01,"December 9, 1989",2010.0,Eric Bledsoe,Point Guard,University of Kentucky,14500000,2018,2017,Milwaukee Bucks,38.0306511,-84.5039697
boganke01,"May 12, 1980",2003.0,Keith Bogans,Small Forward,University of Kentucky,5058198,2014,2013,Boston Celtics,38.0306511,-84.5039697
bogutan01,"November 28, 1984",2005.0,Andrew Bogut,Power Forward,University of Utah,14000000,2014,2013,Golden State Warriors,40.7649368,-111.8421021
