,_id,birthDate,birthPlace,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,college,draft_pick,draft_round,draft_team,draft_year,height,highSchool,name,position,shoots,weight,league,player_id,salary,season,season_end,season_start,team
49,acyqu01,6-Oct-90,"Tyler, Texas",0.6,44.4,35,75.9,337,11.2,4.9,3.5,8.7,51.3,Baylor University,37th overall,2nd round,Toronto Raptors,2012,7-Jun,"Mesquite Horn in Mesquite, Texas",Quincy Acy,Power Forward and Small Forward,Right,240lb,NBA,acyqu01,665000,2012-13,2013,2012,Toronto Raptors
50,acyqu01,6-Oct-90,"Tyler, Texas",0.6,44.4,35,75.9,337,11.2,4.9,3.5,8.7,51.3,Baylor University,37th overall,2nd round,Toronto Raptors,2012,7-Jun,"Mesquite Horn in Mesquite, Texas",Quincy Acy,Power Forward and Small Forward,Right,240lb,NBA,acyqu01,788872,2013-14,2014,2013,Toronto Raptors
51,acyqu01,6-Oct-90,"Tyler, Texas",0.6,44.4,35,75.9,337,11.2,4.9,3.5,8.7,51.3,Baylor University,37th overall,2nd round,Toronto Raptors,2012,7-Jun,"Mesquite Horn in Mesquite, Texas",Quincy Acy,Power Forward and Small Forward,Right,240lb,NBA,acyqu01,915243,2014-15,2015,2014,New York Knicks
52,acyqu01,6-Oct-90,"Tyler, Texas",0.6,44.4,35,75.9,337,11.2,4.9,3.5,8.7,51.3,Baylor University,37th overall,2nd round,Toronto Raptors,2012,7-Jun,"Mesquite Horn in Mesquite, Texas",Quincy Acy,Power Forward and Small Forward,Right,240lb,NBA,acyqu01,981348,2015-16,2016,2015,Sacramento Kings
53,acyqu01,6-Oct-90,"Tyler, Texas",0.6,44.4,35,75.9,337,11.2,4.9,3.5,8.7,51.3,Baylor University,37th overall,2nd round,Toronto Raptors,2012,7-Jun,"Mesquite Horn in Mesquite, Texas",Quincy Acy,Power Forward and Small Forward,Right,240lb,NBA,acyqu01,1914544,2016-17,2017,2016,Brooklyn Nets
54,acyqu01,6-Oct-90,"Tyler, Texas",0.6,44.4,35,75.9,337,11.2,4.9,3.5,8.7,51.3,Baylor University,37th overall,2nd round,Toronto Raptors,2012,7-Jun,"Mesquite Horn in Mesquite, Texas",Quincy Acy,Power Forward and Small Forward,Right,240lb,NBA,acyqu01,1050961,2016-17,2017,2016,Dallas Mavericks
55,acyqu01,6-Oct-90,"Tyler, Texas",0.6,44.4,35,75.9,337,11.2,4.9,3.5,8.7,51.3,Baylor University,37th overall,2nd round,Toronto Raptors,2012,7-Jun,"Mesquite Horn in Mesquite, Texas",Quincy Acy,Power Forward and Small Forward,Right,240lb,NBA,acyqu01,1709538,2017-18,2018,2017,Brooklyn Nets
61,adamsjo01,8-Jul-94,"Atlanta, Georgia",0.6,40.2,38.5,60.7,32,13.1,3.2,0.9,0.4,45.7,"University of California, Los Angeles",22nd overall,1st round,Memphis Grizzlies,2014,5-Jun,"Oak Hill Academy in Mouth of Wilson, Virginia",Jordan Adams,Shooting Guard,Right,209lb,NBA,adamsjo01,1344120,2014-15,2015,2014,Memphis Grizzlies
62,adamsjo01,8-Jul-94,"Atlanta, Georgia",0.6,40.2,38.5,60.7,32,13.1,3.2,0.9,0.4,45.7,"University of California, Los Angeles",22nd overall,1st round,Memphis Grizzlies,2014,5-Jun,"Oak Hill Academy in Mouth of Wilson, Virginia",Jordan Adams,Shooting Guard,Right,209lb,NBA,adamsjo01,1404600,2015-16,2016,2015,Memphis Grizzlies
63,adamsjo01,8-Jul-94,"Atlanta, Georgia",0.6,40.2,38.5,60.7,32,13.1,3.2,0.9,0.4,45.7,"University of California, Los Angeles",22nd overall,1st round,Memphis Grizzlies,2014,5-Jun,"Oak Hill Academy in Mouth of Wilson, Virginia",Jordan Adams,Shooting Guard,Right,209lb,NBA,adamsjo01,1465080,2016-17,2017,2016,Memphis Grizzlies
72,adamsst01,20-Jul-93,"Rotorua, New Zealand",1,58.8,0,55.3,467,16.7,9.7,7.4,38.7,58.8,University of Pittsburgh,12th overall,1st round,Oklahoma City Thunder,2013,Jul-00,"Notre Dame Preparatory School in Fitchburg, Massachusetts",Steven Adams,Center,Right,265lb,NBA,adamsst01,2090880,2013-14,2014,2013,Oklahoma City Thunder
73,adamsst01,20-Jul-93,"Rotorua, New Zealand",1,58.8,0,55.3,467,16.7,9.7,7.4,38.7,58.8,University of Pittsburgh,12th overall,1st round,Oklahoma City Thunder,2013,Jul-00,"Notre Dame Preparatory School in Fitchburg, Massachusetts",Steven Adams,Center,Right,265lb,NBA,adamsst01,2184960,2014-15,2015,2014,Oklahoma City Thunder
74,adamsst01,20-Jul-93,"Rotorua, New Zealand",1,58.8,0,55.3,467,16.7,9.7,7.4,38.7,58.8,University of Pittsburgh,12th overall,1st round,Oklahoma City Thunder,2013,Jul-00,"Notre Dame Preparatory School in Fitchburg, Massachusetts",Steven Adams,Center,Right,265lb,NBA,adamsst01,2279040,2015-16,2016,2015,Oklahoma City Thunder
75,adamsst01,20-Jul-93,"Rotorua, New Zealand",1,58.8,0,55.3,467,16.7,9.7,7.4,38.7,58.8,University of Pittsburgh,12th overall,1st round,Oklahoma City Thunder,2013,Jul-00,"Notre Dame Preparatory School in Fitchburg, Massachusetts",Steven Adams,Center,Right,265lb,NBA,adamsst01,3140517,2016-17,2017,2016,Oklahoma City Thunder
76,adamsst01,20-Jul-93,"Rotorua, New Zealand",1,58.8,0,55.3,467,16.7,9.7,7.4,38.7,58.8,University of Pittsburgh,12th overall,1st round,Oklahoma City Thunder,2013,Jul-00,"Notre Dame Preparatory School in Fitchburg, Massachusetts",Steven Adams,Center,Right,265lb,NBA,adamsst01,22471910,2017-18,2018,2017,Oklahoma City Thunder
82,adebaba01,18-Jul-97,"Newark, New Jersey",1.9,55,13.6,72.8,151,17,8,6.5,11,55.1,University of Kentucky,14th overall,1st round,Miami Heat,2017,10-Jun,"High Point Christian Academy in High Point, North Carolina",Bam Adebayo,Center,Right,255lb,NBA,adebaba01,2490360,2017-18,2018,2017,Miami Heat
131,alabiso01,21-Mar-88,"Kaduna, Nigeria",0.2,31.4,-,70,26,10.3,1.5,2.3,0,31.4,Florida State University,50th overall,2nd round,Dallas Mavericks,2010,1-Jul,"Montverde Academy in Montverde, Florida",Solomon Alabi,Center,Right,251lb,NBA,alabiso01,770000,2010-11,2011,2010,Toronto Raptors
132,alabiso01,21-Mar-88,"Kaduna, Nigeria",0.2,31.4,-,70,26,10.3,1.5,2.3,0,31.4,Florida State University,50th overall,2nd round,Dallas Mavericks,2010,1-Jul,"Montverde Academy in Montverde, Florida",Solomon Alabi,Center,Right,251lb,NBA,alabiso01,830000,2011-12,2012,2011,Toronto Raptors
