player_id,birthDate,draft_year,name,position,college,salary,season_end,season_start,team,lat,long
acyqu01,"October 6, 1990",2012.0,Quincy Acy,Power Forward,Baylor University,1914544,2017,2016,Brooklyn Nets,31.5469132,-97.1210998
jackspi01,"August 29, 1991",2013.0,Pierre Jackson,Point Guard,Baylor University,750000,2016,2015,Philadelphia 76ers,31.5469132,-97.1210998
jeffeco01,"December 26, 1990",2014.0,Cory Jefferson,Power Forward,Baylor University,507336,2015,2014,Brooklyn Nets,31.5469132,-97.1210998
jonespe01,"September 24, 1991",2012.0,Perry Jones,Small Forward,Baylor University,2038206,2016,2015,Boston Celtics,31.5469132,-97.1210998
millequ01,"November 18, 1992",2012.0,Quincy Miller,Power Forward,Baylor University,788872,2014,2013,Denver Nuggets,31.5469132,-97.1210998
princta02,"March 22, 1994",2016.0,Taurean Prince,Small Forward,Baylor University,2422560,2018,2017,Atlanta Hawks,31.5469132,-97.1210998
adamsha01,"June 20, 1984",2006.0,Hassan Adams,Shooting Guard,University of Arizona,412718,2007,2006,New Jersey Nets,32.2318851,-110.9501094
arenagi01,"January 6, 1982",2001.0,Gilbert Arenas,Point Guard,University of Arizona,20807922,2013,2012,Orlando Magic,32.2318851,-110.9501094
bayleje01,"August 20, 1988",2008.0,Jerryd Bayless,Point Guard,University of Arizona,9424084,2017,2016,Philadelphia 76ers,32.2318851,-110.9501094
budinch01,"May 22, 1988",2009.0,Chase Budinger,Small Forward,University of Arizona,5000000,2016,2015,Indiana Pacers,32.2318851,-110.9501094
fryech01,"May 17, 1983",2005.0,Channing Frye,Center and,University of Arizona,8175476,2015,2014,Orlando Magic,32.2318851,-110.9501094
gordoaa01,"September 16, 1995",2014.0,Aaron Gordon,Power Forward,University of Arizona,5504420,2018,2017,Orlando Magic,32.2318851,-110.9501094
hilljo01,"July 27, 1987",2009.0,Jordan Hill,Center and,University of Arizona,9000000,2015,2014,Los Angeles Lakers,32.2318851,-110.9501094
hillso01,"March 18, 1991",2013.0,Solomon Hill,Small Forward,University of Arizona,12236535,2018,2017,New Orleans Pelicans,32.2318851,-110.9501094
holliro01,"January 3, 1995",2015.0,Rondae Hollis-Jefferson,Small Forward,University of Arizona,1471382,2018,2017,Brooklyn Nets,32.2318851,-110.9501094
iguodan01,"January 28, 1984",2004.0,Andre Iguodala,Small Forward,University of Arizona,14968250,2013,2012,Denver Nuggets,32.2318851,-110.9501094
jefferi01,"June 21, 1980",2001.0,Richard Jefferson,Small Forward,University of Arizona,14200000,2010,2009,San Antonio Spurs,32.2318851,-110.9501094
jerregr01,"July 8, 1993",2013.0,Grant Jerrett,Power Forward,University of Arizona,947276,2016,2015,Utah Jazz,32.2318851,-110.9501094
johnsni01,"December 22, 1992",2014.0,Nick Johnson,Shooting Guard,University of Arizona,980431,2017,2016,Denver Nuggets,32.2318851,-110.9501094
johnsst04,"May 29, 1996",2015.0,Stanley Johnson,Small Forward,University of Arizona,3097800,2018,2017,Detroit Pistons,32.2318851,-110.9501094
markkla01,"May 22, 1997",2017.0,Lauri Markkanen,Power Forward,University of Arizona,3821640,2018,2017,Chicago Bulls,32.2318851,-110.9501094
stoudsa01,"October 11, 1982",2005.0,Salim Stoudamire,Point Guard,University of Arizona,783000,2008,2007,Atlanta Hawks,32.2318851,-110.9501094
waltolu01,"March 28, 1980",2003.0,Luke Walton,Power Forward,University of Arizona,6091363,2013,2012,Cleveland Cavaliers,32.2318851,-110.9501094
willide02,"May 25, 1991",2011.0,Derrick Williams,Power Forward,University of Arizona,6331404,2015,2014,Sacramento Kings,32.2318851,-110.9501094
willima04,"November 18, 1986",2007.0,Marcus Williams,Power Forward,University of Arizona,12890,2008,2007,San Antonio Spurs,32.2318851,-110.9501094
adamsjo01,"July 8, 1994",2014.0,Jordan Adams,Shooting Guard, Los Angeles,1465080,2017,2016,Memphis Grizzlies,34.068921,-118.4451811
afflaar01,"October 15, 1985",2007.0,Arron Afflalo,Shooting Guard, Los Angeles,12500000,2017,2016,Sacramento Kings,34.068921,-118.4451811
