,player_id,birthDate,draft_year,name,position,college,salary,season_end,season_start,team
49,acyqu01,6-Oct-90,2012,Quincy Acy,Power Forward and Small Forward,Baylor University,665000,2013,2012,Toronto Raptors
50,acyqu01,6-Oct-90,2012,Quincy Acy,Power Forward and Small Forward,Baylor University,788872,2014,2013,Toronto Raptors
51,acyqu01,6-Oct-90,2012,Quincy Acy,Power Forward and Small Forward,Baylor University,915243,2015,2014,New York Knicks
52,acyqu01,6-Oct-90,2012,Quincy Acy,Power Forward and Small Forward,Baylor University,981348,2016,2015,Sacramento Kings
53,acyqu01,6-Oct-90,2012,Quincy Acy,Power Forward and Small Forward,Baylor University,1914544,2017,2016,Brooklyn Nets
54,acyqu01,6-Oct-90,2012,Quincy Acy,Power Forward and Small Forward,Baylor University,1050961,2017,2016,Dallas Mavericks
55,acyqu01,6-Oct-90,2012,Quincy Acy,Power Forward and Small Forward,Baylor University,1709538,2018,2017,Brooklyn Nets
61,adamsjo01,8-Jul-94,2014,Jordan Adams,Shooting Guard,"University of California, Los Angeles",1344120,2015,2014,Memphis Grizzlies
62,adamsjo01,8-Jul-94,2014,Jordan Adams,Shooting Guard,"University of California, Los Angeles",1404600,2016,2015,Memphis Grizzlies
63,adamsjo01,8-Jul-94,2014,Jordan Adams,Shooting Guard,"University of California, Los Angeles",1465080,2017,2016,Memphis Grizzlies
72,adamsst01,20-Jul-93,2013,Steven Adams,Center,University of Pittsburgh,2090880,2014,2013,Oklahoma City Thunder
73,adamsst01,20-Jul-93,2013,Steven Adams,Center,University of Pittsburgh,2184960,2015,2014,Oklahoma City Thunder
74,adamsst01,20-Jul-93,2013,Steven Adams,Center,University of Pittsburgh,2279040,2016,2015,Oklahoma City Thunder
75,adamsst01,20-Jul-93,2013,Steven Adams,Center,University of Pittsburgh,3140517,2017,2016,Oklahoma City Thunder
76,adamsst01,20-Jul-93,2013,Steven Adams,Center,University of Pittsburgh,22471910,2018,2017,Oklahoma City Thunder
82,adebaba01,18-Jul-97,2017,Bam Adebayo,Center,University of Kentucky,2490360,2018,2017,Miami Heat
131,alabiso01,21-Mar-88,2010,Solomon Alabi,Center,Florida State University,770000,2011,2010,Toronto Raptors
132,alabiso01,21-Mar-88,2010,Solomon Alabi,Center,Florida State University,830000,2012,2011,Toronto Raptors
